absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,carrollb__total_count,Asp__total_count,collinsp__total_count,prohibition__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,pierceb__total_count,independent__total_count,trumpd__total_count,republican__total_count,westk__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,carrollb__absentee_count,collinsp__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,pierceb__absentee_count,trumpd__absentee_count,westk__absentee_count,write-ins__absentee_count
none,966.0,None,,0,100,>98% reported,edison,>98%,28069,2020-11-04T10:43:29Z,D+17,Biden +17,16.92503,democrat,Kemper,14,,,14,3890,4.0,3935,2275,2275,8,8,6,6,6,6,9,9,8,8,4,13,1609,1609,9,2,0,0,0,0,0,0,0,0,0,0
unknown,2116.0,Merged into voters' home precincts and released with cumulative results,,0,88,88% reported,edison,88%,28071,2020-11-04T10:43:29Z,R+17,Trump +17,17.32797,republican,Lafayette,18,,,18,19434,4.0,17163,6904,6904,10,10,25,25,9,9,33,33,199,199,5,47,9878,9878,42,116,0,0,0,0,0,0,0,0,0,0
unknown,946.0,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,28073,2020-11-06T20:05:06Z,R+47,Trump +47,47.00876,republican,Lamar,23,,,23,24624,4.0,28082,7205,7205,21,21,29,29,18,18,32,32,255,255,10,74,20406,20406,64,84,0,0,0,0,0,0,0,0,0,0
unknown,2082.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28075,2020-11-06T15:34:31Z,R+17,Trump +17,16.69534,republican,Lauderdale,40,,,38,29664,2.0,30811,12668,12668,25,25,16,16,24,24,23,23,146,146,13,78,17812,17812,65,38,0,0,0,0,0,0,0,0,0,0
unknown,602.0,None,,985,100,>98% reported,edison,>98%,28077,2020-11-04T10:43:31Z,R+31,Trump +31,30.68251,republican,Lawrence,24,,,24,6547,6.0,6564,2240,2666,11,12,5,5,5,5,8,9,17,20,1,23,4254,4805,19,8,426,1,0,0,1,3,1,551,2,0
unknown,646.0,None,,0,100,>98% reported,edison,>98%,28079,2020-11-04T10:43:32Z,R+19,Trump +19,19.21018,republican,Leake,19,,,19,8130,4.0,8407,3358,3358,12,12,4,4,8,8,6,6,18,18,1,24,4973,4973,23,8,0,0,0,0,0,0,0,0,0,0
none,1452.0,Merged into voters' home precincts and released with cumulative results,,0,82,82% reported,edison,82%,28081,2020-11-04T10:43:34Z,R+36,Trump +36,35.85102,republican,Lee,36,,,36,38837,4.0,31762,9910,9910,26,26,24,24,29,29,38,38,274,274,11,115,21297,21297,104,98,0,0,0,0,0,0,0,0,0,0
none,646.0,None,,0,100,>98% reported,edison,>98%,28083,2020-11-04T10:43:34Z,D+34,Biden +34,34.49499,democrat,Leflore,18,,,18,8181,6.0,8178,5444,5444,13,13,8,8,7,7,9,9,28,28,5,37,2623,2623,32,18,0,0,0,0,0,0,0,0,0,0
unknown,1042.0,None,,0,88,88% reported,edison,88%,28085,2020-11-04T22:49:28Z,R+43,Trump +43,43.01958,republican,Lincoln,30,,,30,16239,2.0,14247,3978,3978,14,14,12,12,11,11,18,18,54,54,6,36,10107,10107,30,34,0,0,0,0,0,0,0,0,0,0
unknown,1206.0,None,,26993,100,>98% reported,edison,>98%,28087,2020-11-04T10:43:36Z,R+3,Trump +3,2.91187,republican,Lowndes,20,,,0,26957,6.0,26993,12913,25826,20,40,19,38,19,38,32,64,179,358,8,158,13699,27398,71,99,12913,20,19,19,32,179,8,13699,71,33
