absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,janicekc__total_count,democrat__total_count,sasseb__total_count,republican__total_count,siadekg__total_count,libertarian__total_count,write-ins__total_count,janicekc__absentee_count,sasseb__absentee_count,siadekg__absentee_count,write-ins__absentee_count
unknown,1515,Merged into voters' home precincts and released with cumulative results,,0,92,92% reported,edison,92%,31101,2020-11-07T00:00:40Z,R+67,Sasse +67,67.3234,republican,Keith,12,,,11,4528,2,4162,553,553,3355,3355,254,254,0,0,0,0,0
unknown,301,Released as a precinct as first report of the night,,0,86,86% reported,edison,86%,31103,2020-11-04T10:43:27Z,R+77,Sasse +77,76.89243,republican,Keya Paha,3,,,3,581,2,502,41,41,427,427,34,34,0,0,0,0,0
unknown,544,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,96,96% reported,edison,96%,31105,2020-11-04T10:43:28Z,R+67,Sasse +67,67.0,republican,Kimball,6,,,6,1884,2,1800,242,242,1448,1448,110,110,0,0,0,0,0
unknown,1126,Released as a separate subtotal as first report of the night,,0,93,93% reported,edison,93%,31107,2020-11-04T10:43:28Z,R+61,Sasse +61,60.98901,republican,Knox,8,,,8,4700,2,4368,708,708,3372,3372,288,288,0,0,0,0,0
some,53608,Released as a precinct at the end of tabulation,,0,87,87% reported,edison,87%,31109,2020-11-04T10:43:28Z,R+23,Sasse +23,22.62256,republican,Lancaster,199,,,174,152570,2,133221,47471,47471,77609,77609,8141,8141,0,0,0,0,0
all,6886,Released as a precinct as first report of the night,,7924,91,91% reported,edison,91%,31111,2020-11-07T00:00:40Z,R+60,Sasse +60,59.88206,republican,Lincoln,25,,,22,18067,2,16788,2626,4281,12679,18143,1113,1603,1055,1655,5464,490,315
unknown,219,Released as a precinct at the end of tabulation,,0,84,84% reported,edison,84%,31113,2020-11-04T10:43:29Z,R+78,Sasse +78,77.98595,republican,Logan,2,,,2,507,2,427,36,36,369,369,22,22,0,0,0,0,0
unknown,130,Released as a precinct at the end of tabulation,,0,97,97% reported,edison,97%,31115,2020-11-04T10:43:29Z,R+82,Sasse +82,81.62291,republican,Loup,2,,,2,431,2,419,28,28,370,370,21,21,0,0,0,0,0
unknown,4174,Released as a precinct as first report of the night,,0,91,91% reported,edison,91%,31119,2020-11-04T10:43:29Z,R+62,Sasse +62,61.62351,republican,Madison,23,,,21,15924,2,14561,2336,2336,11309,11309,916,916,0,0,0,0,0
unknown,138,Other,,0,98,98% reported,edison,98%,31117,2020-11-04T10:43:29Z,R+82,Sasse +82,81.63265,republican,McPherson,1,,,1,301,6,294,12,12,259,259,19,19,8,0,0,0,0
unknown,3923,Released as a precinct as first report of the night,,0,96,96% reported,edison,96%,31121,2020-11-04T10:43:30Z,R+66,Sasse +66,66.47935,republican,Merrick,15,,,14,4243,2,4093,509,509,3230,3230,267,267,174,0,0,0,0
unknown,1216,Released as a precinct as first report of the night,,0,98,98% reported,edison,98%,31123,2020-11-04T10:43:31Z,R+64,Sasse +64,63.94868,republican,Morrill,10,,,10,2474,2,2416,325,325,1870,1870,221,221,0,0,0,0,0
unknown,643,Released as a precinct at the end of tabulation,,0,93,93% reported,edison,93%,31125,2020-11-07T00:00:40Z,R+66,Sasse +66,65.93472,republican,Nance,7,,,6,1816,2,1685,242,242,1353,1353,90,90,0,0,0,0,0
unknown,1205,Released as a precinct as first report of the night,,0,90,90% reported,edison,90%,31127,2020-11-07T00:00:39Z,R+61,Sasse +61,61.30824,republican,Nemaha,9,,,8,3585,2,3241,524,524,2511,2511,206,206,0,0,0,0,0
