absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,2920,Released as a precinct as first report of the night,,3853,100,>98% reported,edison,>98%,31131,2020-11-04T10:44:00Z,R+38,Trump +38,37.65952,republican,Otoe,14,,,14,8306,6,8306,2481,4119,176,261,5609,7714,105,1638,85,2105,25
unknown,504,Merged into voters' home precincts AFTER election night,,0,95,95% reported,edison,95%,31133,2020-11-07T00:00:44Z,R+52,Trump +52,52.41428,republican,Pawnee,6,,,6,1497,2,1429,322,322,36,36,1071,1071,0,0,0,0,0
some,912,Released as a precinct as first report of the night,,851,95,95% reported,edison,95%,31135,2020-11-07T00:00:44Z,R+73,Trump +73,72.62136,republican,Perkins,4,,,4,1630,2,1545,199,377,24,36,1321,1981,3,178,12,660,1
unknown,1421,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,31137,2020-11-07T00:00:44Z,R+68,Trump +68,67.97764,republican,Phelps,14,,,13,5258,2,5009,752,752,100,100,4157,4157,0,0,0,0,0
unknown,1102,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,31139,2020-11-04T10:43:27Z,R+74,Trump +74,74.43834,republican,Pierce,6,,,6,4066,2,4006,480,480,64,64,3462,3462,0,0,0,0,0
unknown,5291,Released as a precinct as first report of the night,,0,94,94% reported,edison,94%,31141,2020-11-04T17:05:49Z,R+56,Trump +56,56.4958,republican,Platte,32,,,30,16165,2,15256,3208,3208,221,221,11827,11827,0,0,0,0,0
unknown,954,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,31143,2020-11-04T10:43:28Z,R+61,Trump +61,61.2892,republican,Polk,6,,,6,2892,2,2870,527,527,57,57,2286,2286,0,0,0,0,0
unknown,1754,Merged into voters' home precincts and released with cumulative results,,0,94,94% reported,edison,94%,31145,2020-11-04T10:43:28Z,R+68,Trump +68,68.12179,republican,Red Willow,14,,,13,5790,2,5452,811,811,116,116,4525,4525,0,0,0,0,0
unknown,1536,Released as a separate subtotal as first report of the night,,0,94,94% reported,edison,94%,31147,2020-11-04T10:43:28Z,R+50,Trump +50,49.77601,republican,Richardson,15,,,14,4262,2,4018,981,981,56,56,2981,2981,0,0,0,0,0
unknown,381,Released as a precinct as first report of the night,,0,94,94% reported,edison,94%,31149,2020-11-07T00:00:44Z,R+78,Trump +78,78.478,republican,Rock,2,,,2,894,2,841,84,84,13,13,744,744,0,0,0,0,0
unknown,1309,Merged into voters' home precincts and released with cumulative results,,0,93,93% reported,edison,93%,31151,2020-11-04T10:43:29Z,R+32,Trump +32,32.25262,republican,Saline,13,,,12,5752,2,5336,1737,1737,141,141,3458,3458,0,0,0,0,0
