absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,19451,Released as a precinct as first report of the night,,17233,100,>98% reported,edison,>98%,12063,2020-11-07T16:52:41Z,R+39,Trump +39,38.9045,republican,Jackson,14,,,14,22415,6,22419,6766,12339,5,5,13,13,13,13,116,189,13,13,15488,27075,10,5573,0,0,0,73,0,11587,0
all,6382,Released as a precinct as first report of the night,,5813,100,>98% reported,edison,>98%,12065,2020-11-04T10:43:23Z,R+7,Trump +7,6.86842,republican,Jefferson,16,,,16,8459,6,8459,3893,6704,5,5,4,7,13,21,46,72,4,7,4474,7424,52,2811,0,3,8,26,3,2950,12
all,2546,"As a subtotal in the FIRST cumulative report, along with regular precincts",,2376,100,>98% reported,edison,>98%,12067,2020-11-04T10:43:23Z,R+72,Trump +72,71.61608,republican,Lafayette,5,,,5,3657,6,3657,507,850,2,4,1,1,2,2,14,22,1,2,3126,5147,9,343,2,0,0,8,1,2021,1
all,141477,Released as a precinct as first report of the night,,193165,100,>98% reported,edison,>98%,12069,2020-11-04T10:43:23Z,R+20,Trump +20,20.07155,republican,Lake,107,,,107,211314,6,211314,83273,161518,79,151,120,221,254,480,1381,2549,96,184,125687,238589,1211,78245,72,101,226,1168,88,112902,363
unknown,227958,Released as a separate subtotal as first report of the night,,379801,100,>98% reported,edison,>98%,12071,2020-11-07T16:51:40Z,R+19,Trump +19,19.14682,republican,Lee,127,,,127,391934,6,394687,157672,309561,121,228,187,357,440,850,2016,3874,176,334,233242,457635,2482,151889,107,170,410,1858,158,224393,816
some,120819,Released as a precinct as first report of the night,,130320,87,87% reported,edison,87%,12073,2020-11-07T16:52:41Z,D+28,Biden +28,28.26729,democrat,Leon,153,,,133,187122,2,162895,103492,191024,71,71,98,98,271,470,1342,2259,122,204,57446,99036,106,87532,0,0,199,917,82,41590,0
all,14018,Released as a precinct as first report of the night,,15522,98,98% reported,edison,98%,12075,2020-11-06T03:57:55Z,R+46,Trump +46,45.51426,republican,Levy,13,,,13,23500,2,23140,6189,11003,13,24,14,24,25,44,130,208,7,13,16721,27305,82,4814,11,10,19,78,6,10584,0
all,2738,"As a precinct in the FIRST cumulative report, along with regular precincts",,2450,100,>98% reported,edison,>98%,12077,2020-11-04T10:43:30Z,R+60,Trump +60,60.44357,republican,Liberty,8,,,8,3562,6,3562,693,1193,1,1,2,2,2,2,14,14,0,0,2846,4796,8,500,0,0,0,0,0,1950,0
all,8256,Released as a precinct as first report of the night,,7643,100,>98% reported,edison,>98%,12079,2020-11-05T22:00:37Z,R+19,Trump +19,19.49893,republican,Madison,6,,,6,9376,6,9380,3747,6845,5,10,3,6,13,24,32,53,4,7,5576,10078,0,3098,5,3,11,21,3,4502,0
all,99579,Released as a separate subtotal as first report of the night,,173451,100,>98% reported,edison,>98%,12081,2020-11-07T16:51:39Z,R+16,Trump +16,16.02626,republican,Manatee,70,,,70,217116,2,217387,90127,167635,69,69,96,96,258,445,1285,2113,78,154,124966,219433,1401,77508,0,0,187,828,76,94467,385
