absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,52920,Released as a separate subtotal as first report of the night,,64128,100,>98% reported,edison,>98%,39103,2020-11-04T10:43:31Z,R+23,Trump +23,23.11311,republican,Medina,121,,,121,104378,6,104378,39326,69696,261,409,1109,1660,63451,96394,578,30370,148,551,32943,116
all,4038,Released as a separate subtotal as first report of the night,,6387,100,>98% reported,edison,>98%,39105,2020-11-04T10:43:32Z,R+53,Trump +53,53.05648,republican,Meigs,27,,,27,10764,6,10764,2452,4310,32,52,108,156,8163,12623,19,1858,20,48,4460,1
all,12162,Released as a separate subtotal as first report of the night,,15454,100,>98% reported,edison,>98%,39107,2020-11-04T10:43:34Z,R+65,Trump +65,64.73149,republican,Mercer,36,,,36,23426,6,23426,3981,7315,67,107,202,319,19145,31086,84,3334,40,117,11941,22
unknown,27334,Merged into voters' home precincts and released with cumulative results,,36421,100,>98% reported,edison,>98%,39109,2020-11-04T10:43:35Z,R+44,Trump +44,44.07913,republican,Miami,85,,,85,55899,4,56968,15420,27803,138,220,762,1160,40531,64021,302,12383,82,398,23490,68
unknown,3733,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,39111,2020-11-04T10:43:35Z,R+54,Trump +54,53.7079,republican,Monroe,20,,,18,7044,2,7066,1597,1597,26,26,51,51,5392,5392,0,0,0,0,0,0
all,127390,Released as a precinct as first report of the night,,154810,86,86% reported,edison,86%,39113,2020-11-04T10:43:36Z,D+2,Biden +2,2.09743,democrat,Montgomery,360,,,360,303557,4,262560,131592,229656,857,1326,3315,4727,126085,180626,1746,98064,469,1412,54541,324
unknown,3651,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39115,2020-11-04T10:43:36Z,R+48,Trump +48,48.04345,republican,Morgan,13,,,12,6679,2,6721,1703,1703,16,16,61,61,4932,4932,18,0,0,0,0,0
all,7283,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39117,2020-11-04T10:43:36Z,R+54,Trump +54,54.15745,republican,Morrow,33,,,32,17155,4,18088,3988,3988,68,68,248,248,13784,13784,0,0,0,0,0,0
unknown,22390,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39119,2020-11-04T10:43:37Z,R+39,Trump +39,39.24873,republican,Muskingum,68,,,64,39059,2,39693,11755,11755,153,153,451,451,27334,27334,0,0,0,0,0,0
unknown,3920,None,,0,100,>98% reported,edison,>98%,39121,2020-11-04T10:43:37Z,R+62,Trump +62,62.1765,republican,Noble,19,,,19,6234,4,6221,1156,1156,13,13,23,23,5024,5024,10,0,0,0,0,0
unknown,11056,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,39123,2020-11-04T10:43:37Z,R+23,Trump +23,23.11583,republican,Ottawa,36,,,36,23803,4,23525,8847,8847,70,70,281,281,14285,14285,84,0,0,0,0,0
all,4563,Merged into voters' home precincts and released with cumulative results,,5745,100,>98% reported,edison,>98%,39125,2020-11-04T10:43:38Z,R+51,Trump +51,51.23922,republican,Paulding,16,,,16,9280,6,9280,2172,3837,37,58,121,177,6927,10920,56,1665,21,56,3993,10
some,7278,Merged into voters' home precincts and released with cumulative results,,9445,100,>98% reported,edison,>98%,39127,2020-11-04T10:43:39Z,R+49,Trump +49,49.15631,republican,Perry,33,,,33,15544,4,16179,4006,7024,46,74,165,240,11959,18283,6,3018,28,75,6324,0
some,12064,Other,,0,100,>98% reported,edison,>98%,39129,2020-11-04T10:43:40Z,R+47,Trump +47,46.65943,republican,Pickaway,42,,,42,26230,4,27630,7167,7167,64,64,286,286,20059,20059,108,0,0,0,0,0
unknown,6190,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,39131,2020-11-04T10:43:41Z,R+48,Trump +48,48.25499,republican,Pike,22,,,20,12314,2,12063,3051,3051,22,22,118,118,8872,8872,0,0,0,0,0,0
all,35339,Other,,31467,100,>98% reported,edison,>98%,39133,2020-11-04T10:43:43Z,R+12,Trump +12,12.42495,republican,Portage,129,,,129,80092,4,81280,34935,54185,284,418,863,1168,45034,56720,420,19250,134,305,11686,92
unknown,7200,Merged into voters' home precincts and released with cumulative results,,4381,100,>98% reported,edison,>98%,39135,2020-11-04T10:43:43Z,R+57,Trump +57,57.20017,republican,Preble,42,,,42,21422,6,21437,4435,6197,50,65,240,287,16697,19254,30,1762,15,47,2557,0
unknown,8054,Merged into voters' home precincts AFTER election night,,0,99,>98% reported,edison,>98%,39137,2020-11-04T10:43:44Z,R+66,Trump +66,66.42265,republican,Putnam,25,,,23,19893,2,19671,3152,3152,60,60,241,241,16218,16218,0,0,0,0,0,0
all,32970,Merged into voters' home precincts and released with cumulative results,,37772,96,96% reported,edison,96%,39139,2020-11-04T10:43:44Z,R+40,Trump +40,39.76553,republican,Richland,83,,,83,61176,4,58601,17231,30901,163,265,659,973,40534,64214,34,13670,102,314,23680,6
unknown,17573,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39141,2020-11-04T10:43:44Z,R+35,Trump +35,34.86521,republican,Ross,65,,,65,31997,4,32531,10345,10345,106,106,328,328,21687,21687,130,0,0,0,0,0
unknown,11870,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,39143,2020-11-04T10:43:45Z,R+27,Trump +27,27.45337,republican,Sandusky,58,,,58,30535,4,29490,10391,10391,128,128,430,430,18487,18487,108,0,0,0,0,0
unknown,15107,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,39145,2020-11-04T10:43:45Z,R+42,Trump +42,41.89944,republican,Scioto,77,,,68,32820,2,31146,8876,8876,87,87,257,257,21926,21926,0,0,0,0,0,0
unknown,9734,Merged into voters' home precincts and released with cumulative results,,0,95,95% reported,edison,95%,39147,2020-11-04T10:43:45Z,R+34,Trump +34,33.93097,republican,Seneca,51,,,47,26607,2,25322,8147,8147,91,91,345,345,16739,16739,0,0,0,0,0,0
all,11214,Merged into voters' home precincts and released with cumulative results,,14476,100,>98% reported,edison,>98%,39149,2020-11-04T10:43:46Z,R+63,Trump +63,62.89691,republican,Shelby,35,,,35,24785,6,24785,4399,7946,70,117,284,436,19988,30718,88,3547,47,152,10730,0
unknown,83515,Merged into voters' home precincts and released with cumulative results,,0,90,90% reported,edison,90%,39151,2020-11-04T10:43:46Z,R+18,Trump +18,18.45526,republican,Stark,274,,,255,206880,2,185714,74336,74336,669,669,2099,2099,108610,108610,0,0,0,0,0,0
unknown,138795,None,,149489,90,90% reported,edison,90%,39153,2020-11-04T10:43:46Z,D+10,Biden +10,9.50911,democrat,Summit,420,,,418,305188,2,274768,148151,250370,836,1239,2905,4054,122023,167321,2126,102219,403,1149,45298,420
some,47683,Released as a separate subtotal as first report of the night,,89258,100,>98% reported,edison,>98%,39155,2020-11-04T10:43:47Z,R+10,Trump +10,10.35905,republican,Trumbull,158,,,158,98677,6,98677,43534,85355,345,650,877,1664,53756,99949,482,41821,305,787,46193,152
some,22667,Merged into voters' home precincts and released with cumulative results,,0,98,98% reported,edison,98%,39157,2020-11-04T10:43:48Z,R+39,Trump +39,39.41149,republican,Tuscarawas,81,,,81,43828,4,42820,12643,12643,154,154,469,469,29519,29519,70,0,0,0,0,0
unknown,14723,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,39159,2020-11-04T10:43:50Z,R+31,Trump +31,31.20775,republican,Union,45,,,45,34000,2,32838,10985,10985,98,98,522,522,21233,21233,0,0,0,0,0,0
some,9334,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39161,2020-11-04T10:43:50Z,R+57,Trump +57,57.18155,republican,Van Wert,39,,,39,14767,6,14767,3026,3026,42,42,195,195,11470,11470,68,0,0,0,0,0
all,3106,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39163,2020-11-04T10:43:51Z,R+55,Trump +55,54.54083,republican,Vinton,20,,,20,5902,6,5902,1306,1306,15,15,45,45,4525,4525,22,0,0,0,0,0
unknown,59072,Merged into voters' home precincts and released with cumulative results,,89102,100,>98% reported,edison,>98%,39165,2020-11-04T10:43:51Z,R+30,Trump +30,30.23544,republican,Warren,175,,,175,132061,6,132391,45040,81984,280,439,1672,2593,85069,135929,878,36944,159,921,50860,218
all,15685,Released as a precinct as first report of the night,,17392,99,>98% reported,edison,>98%,39167,2020-11-04T10:43:52Z,R+40,Trump +40,40.41807,republican,Washington,50,,,46,31631,2,31382,9114,15782,107,168,363,535,21798,32289,0,6668,61,172,10491,0
all,24814,Merged into voters' home precincts and released with cumulative results,,58342,100,>98% reported,edison,>98%,39169,2020-11-04T10:43:52Z,R+16,Trump +16,16.41699,republican,Wayne,67,,,34,58342,6,58342,24040,48080,182,364,502,1004,33618,67236,0,24040,182,502,33618,0
unknown,7416,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,39171,2020-11-04T10:43:53Z,R+46,Trump +46,46.42974,republican,Williams,26,,,24,18290,6,18290,4726,4726,68,68,278,278,13218,13218,0,0,0,0,0,0
unknown,29603,Merged into voters' home precincts and released with cumulative results,,0,97,97% reported,edison,97%,39173,2020-11-04T10:43:53Z,R+8,Trump +8,7.61919,republican,Wood,95,,,95,67593,4,65860,29797,29797,205,205,969,969,34815,34815,148,0,0,0,0,0
unknown,4205,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,39175,2020-11-04T10:43:53Z,R+50,Trump +50,49.97303,republican,Wyandot,23,,,21,11156,2,11122,2690,2690,37,37,147,147,8248,8248,0,0,0,0,0,0
