absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,3189,Released as a precinct in the middle of the night,,0,99,>98% reported,edison,>98%,01103,2020-11-04T10:43:51Z,R+49,Trump +49,49.25956,republican,Morgan,41,,,39,53987,4,53482,13159,13159,700,700,39504,39504,238,0,0,0,0
all,1059,"As a precinct in the FIRST cumulative report, along with regular precincts",,1202,100,>98% reported,edison,>98%,01105,2020-11-04T10:43:51Z,D+48,Biden +48,48.18792,democrat,Perry,13,,,11,5215,6,5215,3849,4906,23,26,1336,1478,14,1057,3,142,0
unknown,456,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01107,2020-11-04T10:43:51Z,R+16,Trump +16,16.28533,republican,Pickens,20,,,18,9634,6,9659,4017,4017,40,40,5590,5590,24,0,0,0,0
all,910,Released as a precinct in the middle of the night,,1137,100,>98% reported,edison,>98%,01109,2020-11-04T10:43:52Z,R+17,Trump +17,17.44709,republican,Pike,35,,,33,13796,6,13796,5613,6315,134,134,8020,8455,58,702,0,435,0
unknown,1038,None,,0,100,>98% reported,edison,>98%,01111,2020-11-04T10:43:52Z,R+59,Trump +59,58.61973,republican,Randolph,27,,,26,10734,2,10824,2203,2203,59,59,8548,8548,28,0,0,0,0
unknown,1262,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01113,2020-11-04T10:43:52Z,D+6,Biden +6,6.07353,democrat,Russell,19,,,19,17395,2,21108,11078,11078,195,195,9796,9796,78,0,0,0,0
all,5451,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01117,2020-11-04T10:43:53Z,R+41,Trump +41,40.53863,republican,Shelby,49,,,49,114439,6,114439,33036,33036,1456,1456,79428,79428,1038,0,0,0,0
unknown,2192,None,,0,100,>98% reported,edison,>98%,01115,2020-11-04T10:43:53Z,R+64,Trump +64,64.08921,republican,St. Clair,31,,,31,40935,2,44346,7698,7698,444,444,36119,36119,170,0,0,0,0
all,795,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,01119,2020-11-04T10:43:53Z,D+48,Biden +48,48.40815,democrat,Sumter,13,,,11,6282,6,6282,4639,4639,37,37,1598,1598,16,0,0,0,0
all,1602,None,,12084,100,>98% reported,edison,>98%,01121,2020-11-04T10:43:54Z,R+26,Trump +26,25.61884,republican,Talladega,27,,,26,35591,6,35591,13092,19230,246,304,22210,28092,92,6138,58,5882,6
all,1203,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,01123,2020-11-04T20:19:12Z,R+44,Trump +44,43.51781,republican,Tallapoosa,28,,,26,18083,6,20888,5815,5815,129,129,14905,14905,78,0,0,0,0
unknown,4762,Other,,0,97,97% reported,edison,97%,01125,2020-11-06T22:25:47Z,R+15,Trump +15,14.98106,republican,Tuscaloosa,55,,,53,92624,4,89760,37514,37514,923,923,50961,50961,724,0,0,0,0
unknown,1320,None,,0,99,>98% reported,edison,>98%,01127,2020-11-04T10:43:56Z,R+68,Trump +68,67.90008,republican,Walker,46,,,43,31418,4,31106,4826,4826,276,276,25947,25947,114,0,0,0,0
all,592,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,100,>98% reported,edison,>98%,01129,2020-11-04T20:19:12Z,R+49,Trump +49,48.53854,republican,Washington,20,,,19,8852,6,8861,2253,2253,45,45,6554,6554,18,0,0,0,0
all,931,Released as a precinct as first report of the night,,0,99,>98% reported,edison,>98%,01131,2020-11-04T10:43:57Z,D+38,Biden +38,37.55948,democrat,Wilcox,36,,,31,5918,4,5884,4036,4036,17,17,1826,1826,10,0,0,0,0
unknown,533,None,,0,100,>98% reported,edison,>98%,01133,2020-11-04T20:19:12Z,R+82,Trump +82,81.72625,republican,Winston,19,,,18,10994,2,11273,974,974,99,99,10187,10187,26,0,0,0,0
