absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,blankenshipd__total_count,constitution__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,blankenshipd__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,422,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29075,2020-11-04T10:43:51Z,R+61,Trump +61,60.72862,republican,Gentry,11,,,11,3239,6,3239,613,613,6,6,1,1,34,34,2580,2580,10,0,0,0,0,0,0
all,15946,Released separately AFTER election night,,29484,100,>98% reported,edison,>98%,29077,2020-11-04T10:43:51Z,R+20,Trump +20,20.2826,republican,Greene,78,,,76,138074,6,138074,53307,69130,155,182,416,469,2377,2562,81312,94630,1092,15823,27,53,185,13318,78
unknown,150,None,,0,96,96% reported,edison,96%,29079,2020-11-04T10:43:51Z,R+63,Trump +63,62.79017,republican,Grundy,9,,,8,4639,2,4437,799,799,3,3,8,8,42,42,3585,3585,0,0,0,0,0,0,0
all,706,"As a precinct in the FIRST cumulative report, along with regular precincts",,0,99,>98% reported,edison,>98%,29081,2020-11-04T10:43:52Z,R+68,Trump +68,68.0,republican,Harrison,7,,,7,3872,4,3825,597,597,1,1,7,7,22,22,3198,3198,0,0,0,0,0,0,0
unknown,1635,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29083,2020-11-04T10:43:52Z,R+50,Trump +50,50.14848,republican,Henry,10,,,10,10605,2,10776,2615,2615,11,11,17,17,114,114,8019,8019,0,0,0,0,0,0,0
unknown,1836,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29085,2020-11-04T10:43:52Z,R+57,Trump +57,57.30315,republican,Hickory,7,,,7,4949,2,5080,1054,1054,6,6,13,13,39,39,3965,3965,6,0,0,0,0,0,0
unknown,312,Released as a precinct as first report of the night,,0,95,95% reported,edison,95%,29087,2020-11-04T10:43:53Z,R+70,Trump +70,69.91037,republican,Holt,5,,,5,2468,2,2343,338,338,1,1,5,5,23,23,1976,1976,0,0,0,0,0,0,0
unknown,624,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29089,2020-11-04T10:43:53Z,R+42,Trump +42,42.05148,republican,Howard,8,,,8,5089,6,5089,1412,1412,5,5,14,14,106,106,3552,3552,0,0,0,0,0,0,0
unknown,2469,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29091,2020-11-04T10:43:53Z,R+64,Trump +64,64.17342,republican,Howell,21,,,20,18287,2,18637,3214,3214,21,21,31,31,197,197,15174,15174,0,0,0,0,0,0,0
unknown,458,Released as a precinct as first report of the night,,0,100,>98% reported,edison,>98%,29093,2020-11-04T10:43:54Z,R+58,Trump +58,57.73084,republican,Iron,10,,,10,4473,2,4592,945,945,7,7,11,11,33,33,3596,3596,0,0,0,0,0,0,0
