absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,jorgensenj__total_count,libertarian__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,jorgensenj__absentee_count,trumpd__absentee_count,write-ins__absentee_count
none,1515,None,,0,99,>98% reported,edison,>98%,18161,2020-11-04T10:43:56Z,R+56,Trump +56,55.88657,republican,Union,10,,,10,3531,2,3491,736,736,59,59,2687,2687,18,0,0,0,0
all,72041,None,,0,97,97% reported,edison,97%,18163,2020-11-05T23:07:36Z,R+10,Trump +10,9.58447,republican,Vanderburgh,136,,,129,79897,4,77563,34404,34404,1321,1321,41838,41838,0,0,0,0,0
unknown,2816,Released as a separate subtotal as first report of the night,,3253,100,>98% reported,edison,>98%,18165,2020-11-04T17:09:48Z,R+41,Trump +41,40.5741,republican,Vermillion,17,,,17,7394,6,7490,2145,4099,151,193,5184,6437,24,1954,42,1253,4
all,16803,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,18167,2020-11-06T13:38:16Z,R+15,Trump +15,14.75466,republican,Vigo,89,,,89,43911,4,43593,18080,18080,897,897,24512,24512,208,0,0,0,0
all,6597,Released as a separate subtotal as first report of the night,,10456,100,>98% reported,edison,>98%,18169,2020-11-04T10:43:59Z,R+50,Trump +50,49.78764,republican,Wabash,26,,,26,14598,6,14598,3494,6385,317,512,10762,18119,63,2891,195,7357,13
all,1629,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18171,2020-11-04T10:43:59Z,R+54,Trump +54,54.25889,republican,Warren,13,,,13,4217,4,4473,974,974,96,96,3401,3401,4,0,0,0,0
unknown,14037,Merged into voters' home precincts and released with cumulative results,,24765,100,>98% reported,edison,>98%,18173,2020-11-04T10:44:00Z,R+28,Trump +28,27.75646,republican,Warrick,59,,,57,32605,4,33884,11919,21681,557,880,21324,35955,217,9762,323,14631,49
unknown,3885,Merged into voters' home precincts and released with cumulative results,,0,99,>98% reported,edison,>98%,18175,2020-11-04T10:44:00Z,R+52,Trump +52,52.19363,republican,Washington,20,,,20,12214,2,12126,2783,2783,231,231,9112,9112,0,0,0,0,0
unknown,7304,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,18177,2020-11-05T17:11:41Z,R+29,Trump +29,29.07599,republican,Wayne,60,,,57,27447,2,27662,9524,9524,571,571,17567,17567,0,0,0,0,0
all,7625,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,18179,2020-11-04T10:44:01Z,R+56,Trump +56,56.29972,republican,Wells,22,,,22,14080,6,14080,2928,2928,261,261,10855,10855,72,0,0,0,0
some,4013,Released as a separate subtotal as first report of the night,,0,96,96% reported,edison,96%,18181,2020-11-04T10:44:01Z,R+43,Trump +43,43.11671,republican,White,20,,,19,10787,4,10402,2868,2868,155,155,7353,7353,52,0,0,0,0
all,9132,Released as a separate subtotal as first report of the night,,9062,100,>98% reported,edison,>98%,18183,2020-11-04T10:44:01Z,R+49,Trump +49,49.04727,republican,Whitley,34,,,34,17216,4,17581,4233,7117,453,641,12856,18827,97,2884,188,5971,19
