absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,bidenj__total_count,democrat__total_count,de_la_fuenter__total_count,Ali__total_count,hawkinsh__total_count,green__total_count,jorgensenj__total_count,libertarian__total_count,la_rivag__total_count,independent__total_count,trumpd__total_count,republican__total_count,write-ins__total_count,bidenj__absentee_count,de_la_fuenter__absentee_count,hawkinsh__absentee_count,jorgensenj__absentee_count,la_rivag__absentee_count,trumpd__absentee_count,write-ins__absentee_count
all,489638,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,06067,2020-11-06T23:35:36Z,D+30,Biden +30,30.2617,democrat,Sacramento,677,,,476,324230,4,448524,287507,287507,1361,1361,1749,1749,4815,4815,1281,1281,151776,151776,70,0,0,0,0,0,0,0
unknown,19926,Released as a separate subtotal as first report of the night,,21136,100,>98% reported,edison,>98%,06069,2020-11-07T00:34:36Z,D+25,Biden +25,24.89917,democrat,San Benito,54,,,54,24993,4,25290,15539,28943,66,115,75,133,290,528,73,133,9242,16565,14,13404,49,58,238,60,7323,4
some,453259,Released as a separate subtotal as first report of the night,,342615,77,77% reported,edison,77%,06071,2020-11-07T00:34:35Z,D+13,Biden +13,13.33797,democrat,San Bernardino,2327,,,1793,745541,2,574585,320057,538855,2009,3087,2135,3464,5156,8148,1809,2842,243419,360804,0,218798,1078,1329,2992,1033,117385,0
some,1080011,Released as a separate subtotal as first report of the night,,1070973,99,>98% reported,edison,>98%,06073,2020-11-08T02:35:47Z,D+23,Biden +23,23.37814,democrat,San Diego,1414,,,1402,1489296,2,1477316,895268,1596546,4450,7243,6430,10691,18699,30552,2457,4026,549899,899118,226,701278,2793,4261,11853,1569,349219,0
all,309114,Released as a separate subtotal as first report of the night,,318214,89,89% reported,edison,89%,06075,2020-11-07T20:35:46Z,D+73,Biden +73,73.23604,democrat,San Francisco,609,,,544,462603,4,413642,354224,632637,1066,1748,2534,4255,2940,4851,1397,2371,51289,85766,420,278413,682,1721,1911,974,34477,36
unknown,212698,None,,0,61,61% reported,edison,61%,06077,2020-11-07T05:35:43Z,D+22,Biden +22,21.69948,democrat,San Joaquin,207,,,125,255549,2,155165,93016,93016,536,536,494,494,1316,1316,457,457,59346,59346,0,0,0,0,0,0,0,0
all,128384,Released as a separate subtotal as first report of the night,,111713,100,>98% reported,edison,>98%,06079,2020-11-07T01:40:38Z,D+17,Biden +17,17.30923,democrat,San Luis Obispo,112,,,96,116049,4,132646,76398,144049,332,602,592,1069,1673,2963,193,345,53438,95291,60,67651,270,477,1290,152,41853,20
all,271008,Released as a separate subtotal as first report of the night,,227600,79,79% reported,edison,79%,06081,2020-11-06T02:36:36Z,D+60,Biden +60,60.05832,democrat,San Mateo,403,,,319,358398,4,284272,225185,412763,736,1252,1035,1841,2306,4021,529,907,54456,91040,73,187578,516,806,1715,378,36584,23
unknown,155496,Released as a separate subtotal as first report of the night,,0,77,77% reported,edison,77%,06083,2020-11-04T10:43:52Z,D+36,Biden +36,36.44707,democrat,Santa Barbara,226,,,180,201536,4,154830,103902,103902,507,507,715,715,1585,1585,391,391,47471,47471,518,0,0,0,0,0,0,0
some,732616,Released as a separate subtotal as first report of the night,,0,80,80% reported,edison,80%,06085,2020-11-07T01:40:38Z,D+50,Biden +50,50.21302,democrat,Santa Clara,596,,,478,802228,4,644534,478155,478155,1668,1668,2786,2786,6033,6033,1377,1377,154515,154515,0,0,0,0,0,0,0,0
some,102995,Released as a separate subtotal as first report of the night,,0,94,94% reported,edison,94%,06087,2020-11-05T23:30:37Z,D+61,Biden +61,60.77699,democrat,Santa Cruz,168,,,158,146856,4,138638,109745,109745,401,401,995,995,1609,1609,384,384,25485,25485,38,0,0,0,0,0,0,0
unknown,77694,Released as a separate subtotal as first report of the night,,0,97,97% reported,edison,97%,06089,2020-11-06T23:35:36Z,R+33,Trump +33,32.67764,republican,Shasta,97,,,94,91260,2,88761,28889,28889,255,255,349,349,1197,1197,177,177,57894,57894,0,0,0,0,0,0,0,0
unknown,2915,Other,,0,92,92% reported,edison,92%,06091,2020-11-05T23:30:37Z,R+21,Trump +21,21.1838,republican,Sierra,23,,,21,2086,2,1926,730,730,12,12,13,13,27,27,6,6,1138,1138,0,0,0,0,0,0,0,0
unknown,21928,Released as a separate subtotal as first report of the night,,0,98,98% reported,edison,98%,06093,2020-11-06T23:35:36Z,R+15,Trump +15,15.4887,republican,Siskiyou,64,,,62,23361,2,22836,9379,9379,77,77,109,109,305,305,50,50,12916,12916,0,0,0,0,0,0,0,0
unknown,140931,Released as a separate subtotal as first report of the night,,0,100,>98% reported,edison,>98%,06095,2020-11-07T01:54:36Z,D+30,Biden +30,30.38254,democrat,Solano,348,,,348,189369,2,194829,124752,124752,717,717,907,907,2328,2328,567,567,65558,65558,0,0,0,0,0,0,0,0
