absentee_count_progress,absentee_max_ballots,absentee_method,absentee_outstanding,absentee_votes,eevp,eevp_display,eevp_source,eevp_value,fips,last_updated,leader_margin_display,leader_margin_name_display,leader_margin_value,leader_party_id,name,precincts,provisional_count_progress,provisional_outstanding,reporting,tot_exp_vote,turnout_stage,votes,edwardsj__total_count,libertarian__total_count,espym__total_count,democrat__total_count,hyde_smithc__total_count,republican__total_count,write-ins__total_count,edwardsj__absentee_count,espym__absentee_count,hyde_smithc__absentee_count,write-ins__absentee_count
unknown,946.0,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,28073,2020-11-06T20:05:28Z,R+40,Hyde-Smith +40,40.42174,republican,Lamar,23,,,23,24624,4.0,28027,671,671,7997,7997,19326,19326,66,0,0,0,0
unknown,2082.0,Merged into voters' home precincts and released with cumulative results,,0,100,>98% reported,edison,>98%,28075,2020-11-06T15:35:18Z,R+12,Hyde-Smith +12,12.07925,republican,Lauderdale,40,,,38,29664,2.0,30689,493,493,13236,13236,16943,16943,34,0,0,0,0
all,602.0,None,,976,100,>98% reported,edison,>98%,28077,2020-11-04T10:43:44Z,R+29,Hyde-Smith +29,28.99038,republican,Lawrence,24,,,24,6547,6.0,6547,56,63,2295,2710,4193,4747,6,7,415,554,0
all,646.0,None,,0,100,>98% reported,edison,>98%,28079,2020-11-04T10:43:45Z,R+14,Hyde-Smith +14,14.02903,republican,Leake,19,,,19,8130,4.0,8404,88,88,3567,3567,4746,4746,6,0,0,0,0
none,1452.0,Merged into voters' home precincts and released with cumulative results,,0,82,82% reported,edison,82%,28081,2020-11-04T10:43:45Z,R+28,Hyde-Smith +28,28.24652,republican,Lee,36,,,36,38837,4.0,31657,680,680,10996,10996,19938,19938,86,0,0,0,0
none,646.0,None,,0,100,>98% reported,edison,>98%,28083,2020-11-04T10:43:45Z,D+40,Espy +40,39.83621,democrat,Leflore,18,,,18,8181,6.0,8181,52,52,5693,5693,2434,2434,4,0,0,0,0
unknown,1042.0,None,,0,88,88% reported,edison,88%,28085,2020-11-04T22:49:28Z,R+40,Hyde-Smith +40,40.18994,republican,Lincoln,30,,,30,16239,2.0,14215,148,148,4173,4173,9886,9886,16,0,0,0,0
all,1206.0,None,,26957,100,>98% reported,edison,>98%,28087,2020-11-04T10:43:46Z,D+3,Espy +3,2.7414,democrat,Lowndes,20,,,20,26957,6.0,26957,367,734,13657,27314,12918,25836,45,367,13657,12918,15
none,2144.0,None,,0,100,>98% reported,edison,>98%,28089,2020-11-04T10:43:46Z,R+12,Hyde-Smith +12,11.83886,republican,Madison,43,,,43,45773,6.0,45773,736,736,19790,19790,25209,25209,76,0,0,0,0
unknown,980.0,None,,0,98,98% reported,edison,98%,28091,2020-11-04T10:43:46Z,R+32,Hyde-Smith +32,32.09647,republican,Marion,22,,,22,11520,4.0,11319,178,178,3751,3751,7384,7384,12,0,0,0,0
none,920.0,Merged into voters' home precincts and released with cumulative results,,0,88,88% reported,edison,88%,28093,2020-11-04T10:43:46Z,D+6,Espy +6,5.86329,democrat,Marshall,24,,,24,14698,2.0,12962,192,192,6764,6764,6004,6004,4,0,0,0,0
none,978.0,None,,0,86,86% reported,edison,86%,28095,2020-11-04T10:43:47Z,R+28,Hyde-Smith +28,27.65262,republican,Monroe,26,,,26,16738,4.0,14382,284,284,5056,5056,9033,9033,18,0,0,0,0
all,726.0,None,,0,100,>98% reported,edison,>98%,28097,2020-11-04T22:48:44Z,R+9,Hyde-Smith +9,9.35439,republican,Montgomery,15,,,15,5003,6.0,5003,84,84,2224,2224,2692,2692,6,0,0,0,0
all,468.0,None,,0,100,>98% reported,edison,>98%,28099,2020-11-04T10:43:49Z,R+36,Hyde-Smith +36,36.14219,republican,Neshoba,27,,,27,10898,4.0,11618,234,234,3589,3589,7788,7788,14,0,0,0,0
unknown,568.0,Merged into voters' home precincts and released with cumulative results,,0,89,89% reported,edison,89%,28101,2020-11-04T10:43:50Z,R+35,Hyde-Smith +35,34.94437,republican,Newton,16,,,16,9673,4.0,8628,163,163,2723,2723,5738,5738,8,0,0,0,0
none,382.0,Merged into voters' home precincts and released with cumulative results,,1282,100,>98% reported,edison,>98%,28103,2020-11-04T10:43:51Z,D+49,Espy +49,49.48376,democrat,Noxubee,8,,,8,3981,6.0,3971,18,21,2959,4067,994,1165,0,3,1108,171,0
some,1134.0,Released as a separate subtotal at the end of tabulation,,0,100,>98% reported,edison,>98%,28105,2020-11-06T22:29:55Z,D+12,Espy +12,11.50411,democrat,Oktibbeha,20,,,20,16402,2.0,19706,311,311,10828,10828,8561,8561,12,0,0,0,0
unknown,1296.0,Merged into voters' home precincts AFTER election night,,0,100,>98% reported,edison,>98%,28107,2020-11-06T18:41:21Z,D+3,Espy +3,3.06553,democrat,Panola,21,,,21,12688,6.0,15397,213,213,7822,7822,7350,7350,24,0,0,0,0
